"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"21.07.2025","56,295.41","56,325.89","56,425.09","55,738.83","31.01M","0.04%"
"18.07.2025","56,273.45","56,724.73","56,798.08","56,190.61","170.00M","-0.78%"
"17.07.2025","56,714.92","56,413.50","56,864.03","56,358.34","214.69M","0.37%"
"16.07.2025","56,503.04","56,448.47","56,714.09","56,368.19","176.68M","0.04%"
"15.07.2025","56,482.91","56,405.55","56,716.56","56,186.50","185.15M","0.21%"
"14.07.2025","56,362.67","56,567.29","56,655.94","56,085.24","146.74M","-0.41%"
"11.07.2025","56,593.65","56,618.12","56,779.35","56,100.69","145.04M","-0.26%"
"10.07.2025","56,739.90","56,660.34","56,809.71","56,370.49","164.96M","0.09%"
"09.07.2025","56,687.54","57,159.72","57,232.98","56,617.77","177.52M","-0.87%"
"08.07.2025","57,183.32","57,338.27","57,434.29","56,821.70","135.81M","-0.42%"
"07.07.2025","57,423.40","58,005.61","58,062.86","57,342.87","129.96M","-0.96%"
"04.07.2025","57,977.76","57,930.10","58,078.49","57,852.88","18.76M","0.15%"
"03.07.2025","57,890.99","58,313.65","58,680.87","57,785.63","153.61M","-0.78%"
"02.07.2025","58,346.72","57,806.25","58,452.08","57,806.25","233.05M","0.92%"
"01.07.2025","57,813.82","57,446.31","57,870.11","57,244.85","154.92M","0.63%"
"30.06.2025","57,450.88","57,336.04","57,886.68","57,334.55","171.95M","0.10%"
"27.06.2025","57,391.51","57,489.81","57,901.22","57,318.07","145.72M","-0.14%"
"26.06.2025","57,474.19","56,926.37","57,620.72","56,681.96","139.12M","0.95%"
"25.06.2025","56,933.19","56,630.50","57,076.08","56,630.50","198.07M","0.33%"
"24.06.2025","56,743.28","56,060.46","56,807.92","56,054.53","155.70M","1.18%"
"23.06.2025","56,080.06","56,104.74","56,192.76","55,603.77","141.48M","-0.33%"
"20.06.2025","56,264.69","56,122.21","56,427.34","55,920.25","1.13B","0.35%"
"19.06.2025","56,068.16","56,745.72","56,823.60","56,018.56","32.71M","-1.17%"
"18.06.2025","56,729.57","56,635.27","56,945.12","56,423.65","169.05M","0.09%"
"17.06.2025","56,676.82","56,963.94","57,119.28","56,539.27","166.60M","-0.65%"
"16.06.2025","57,046.85","57,495.71","57,834.53","56,980.58","189.20M","-0.68%"
"13.06.2025","57,438.57","57,726.42","57,726.42","57,156.48","169.11M","-0.68%"
"12.06.2025","57,829.74","57,766.57","58,098.59","57,488.53","206.13M","0.11%"
"11.06.2025","57,767.33","58,064.58","58,431.08","57,728.03","212.58M","-0.57%"
"10.06.2025","58,098.51","57,686.74","58,173.96","57,608.43","162.63M","0.49%"
"09.06.2025","57,813.38","58,147.59","58,325.75","57,748.99","106.86M","-0.43%"
"06.06.2025","58,061.41","57,704.13","58,157.29","57,145.56","154.88M","0.49%"
"05.06.2025","57,777.49","57,487.81","57,981.46","57,487.81","161.67M","0.51%"
"04.06.2025","57,484.52","57,568.13","57,941.05","57,415.51","198.02M","-0.27%"
"03.06.2025","57,639.07","57,696.61","57,866.95","57,443.59","183.19M","-0.12%"
"02.06.2025","57,705.48","57,973.40","58,600.78","57,609.72","193.38M","-0.24%"
"30.05.2025","57,841.69","58,562.80","58,578.91","57,796.14","544.08M","-1.32%"
"29.05.2025","58,614.41","58,699.36","59,079.32","58,565.87","168.52M","-0.21%"
"28.05.2025","58,735.86","58,502.42","58,992.18","58,409.80","217.76M","0.24%"
"27.05.2025","58,593.83","58,449.16","59,735.43","58,324.50","233.32M","0.23%"
"26.05.2025","58,459.16","58,337.47","58,536.52","58,225.86","30.51M","0.08%"
"23.05.2025","58,410.37","57,707.60","58,492.09","57,234.38","166.23M","0.89%"
"22.05.2025","57,894.82","58,397.59","58,561.77","57,795.68","185.19M","-1.15%"
"21.05.2025","58,568.01","58,276.04","58,632.23","58,071.10","172.97M","0.44%"
"20.05.2025","58,311.15","58,413.01","58,791.65","58,250.99","199.14M","-0.31%"
"19.05.2025","58,493.39","58,016.74","58,857.61","57,764.24","174.05M","0.87%"
"16.05.2025","57,987.14","57,970.88","58,223.94","57,685.82","126.63M","0.05%"
"15.05.2025","57,959.72","57,579.73","58,113.53","57,179.20","166.97M","0.55%"
"14.05.2025","57,644.94","57,421.57","57,710.06","57,133.85","186.77M","0.50%"
"13.05.2025","57,357.54","56,773.03","57,782.86","56,541.29","192.33M","1.04%"
"12.05.2025","56,765.58","56,985.19","57,215.87","55,872.66","157.92M","0.38%"
"09.05.2025","56,551.18","56,771.00","57,268.89","56,456.24","178.39M","-0.55%"
"08.05.2025","56,866.76","57,949.35","58,392.60","56,751.29","204.76M","-1.88%"
"07.05.2025","57,954.39","57,270.38","58,077.77","57,062.94","236.41M","1.05%"
"06.05.2025","57,349.83","55,767.59","57,456.01","55,619.08","166.33M","2.71%"
"05.05.2025","55,835.99","55,754.22","56,013.16","55,405.87","111.48M","0.04%"
"02.05.2025","55,811.99","56,302.80","56,314.16","55,468.19","187.31M","-0.80%"
"01.05.2025","56,259.28","55,602.80","56,336.46","55,241.51","226.96M","0.00%"
"30.04.2025","56,259.28","55,602.80","56,336.46","55,241.51","226.96M","1.16%"
"29.04.2025","55,613.43","56,940.57","57,098.48","55,505.21","240.94M","-2.40%"
"28.04.2025","56,980.13","56,804.88","57,415.86","56,644.37","193.00M","0.46%"
"25.04.2025","56,720.12","56,377.39","56,842.66","56,058.22","217.53M","0.60%"
"24.04.2025","56,382.00","55,774.46","56,730.63","55,603.72","249.95M","1.10%"
"23.04.2025","55,766.58","54,846.48","56,240.95","54,846.48","239.66M","1.80%"
"22.04.2025","54,777.84","53,665.03","54,833.67","53,665.03","249.72M","1.90%"
"21.04.2025","53,758.75","53,117.82","53,878.36","53,117.44","166.89M","1.40%"
"16.04.2025","53,018.57","52,699.68","53,459.57","52,590.76","168.23M","0.71%"
"15.04.2025","52,643.04","52,328.79","52,909.78","52,259.43","177.90M","0.48%"
"14.04.2025","52,391.35","51,553.56","52,814.69","51,553.56","173.19M","1.73%"
"11.04.2025","51,498.90","51,550.16","52,138.64","51,437.42","219.86M","-0.03%"
"10.04.2025","51,514.82","52,531.27","52,531.27","51,386.73","266.89M","-1.93%"
"09.04.2025","52,527.67","50,362.85","52,721.89","49,874.04","373.03M","4.39%"
"08.04.2025","50,316.59","50,675.25","51,460.75","50,174.08","338.82M","-0.28%"
"07.04.2025","50,458.32","51,313.70","51,867.05","49,799.28","464.06M","-1.93%"
"04.04.2025","51,452.73","53,818.02","53,818.02","51,175.01","168.66M","-4.87%"
"03.04.2025","54,089.28","53,438.41","54,874.93","53,001.11","259.30M","0.54%"
"02.04.2025","53,800.93","53,235.80","53,853.48","53,005.41","173.37M","0.87%"
"01.04.2025","53,337.90","52,546.87","53,417.50","52,284.65","208.02M","1.63%"
"31.03.2025","52,484.43","53,068.68","53,068.68","52,149.50","195.25M","-1.29%"
"28.03.2025","53,172.97","53,351.34","53,573.31","52,716.22","168.30M","-0.57%"
"27.03.2025","53,477.74","52,782.85","53,539.86","52,691.22","210.15M","1.27%"
"26.03.2025","52,806.89","53,258.40","53,270.67","52,729.12","179.88M","-0.75%"
"25.03.2025","53,203.26","52,670.06","53,283.35","52,670.06","186.16M","1.00%"
"24.03.2025","52,674.84","52,780.79","52,994.03","52,599.94","153.63M","0.00%"
"21.03.2025","52,672.42","53,156.44","53,167.69","52,525.64","699.30M","-0.81%"
"20.03.2025","53,100.83","53,093.80","53,163.81","52,837.85","193.19M","0.08%"
"19.03.2025","53,060.76","52,747.05","53,339.99","52,677.03","213.70M","0.54%"
"18.03.2025","52,773.32","52,665.89","53,180.10","52,598.49","200.23M","0.55%"
"14.03.2025","52,484.28","51,988.67","52,626.95","51,983.04","226.98M","1.17%"
"13.03.2025","51,877.12","52,021.10","52,268.98","51,798.70","179.92M","-0.31%"
"12.03.2025","52,041.01","51,526.88","52,122.22","51,305.14","232.44M","1.03%"
"11.03.2025","51,510.68","51,756.50","51,855.25","51,159.40","215.53M","-0.42%"
"10.03.2025","51,726.88","52,858.46","52,858.46","51,389.67","194.68M","-2.11%"
"07.03.2025","52,839.63","52,758.92","52,901.23","51,839.15","190.65M","0.04%"
"06.03.2025","52,816.43","52,709.20","53,372.67","52,392.54","245.44M","0.20%"
"05.03.2025","52,709.40","52,421.39","52,748.85","52,276.75","200.90M","0.62%"
"04.03.2025","52,384.72","51,938.91","52,690.73","50,964.73","262.43M","0.58%"
"03.03.2025","52,081.59","52,259.49","53,372.92","52,010.74","177.88M","-0.47%"
"28.02.2025","52,325.73","52,665.44","52,893.30","52,235.22","484.86M","-0.54%"
"27.02.2025","52,607.61","53,434.32","53,446.35","52,333.76","239.11M","-1.29%"
"26.02.2025","53,296.71","53,090.25","53,475.74","52,830.83","237.11M","0.46%"
"25.02.2025","53,050.33","53,771.52","53,771.52","52,888.85","225.73M","-1.22%"
"24.02.2025","53,704.45","53,784.45","53,980.45","53,250.30","153.02M","-0.06%"
"21.02.2025","53,738.75","54,310.00","54,382.21","53,462.90","92.88M","-1.04%"
"20.02.2025","54,303.93","54,118.46","54,506.94","53,824.12","136.03M","0.36%"
"19.02.2025","54,110.21","54,426.58","54,477.09","53,977.42","230.80M","-0.67%"
"18.02.2025","54,476.74","54,294.83","54,670.85","53,972.18","170.28M","0.34%"
"17.02.2025","54,291.64","54,068.05","54,349.95","53,762.36","25.45M","0.40%"
"14.02.2025","54,077.94","54,137.44","54,325.21","53,948.50","289.62M","-0.15%"
"13.02.2025","54,160.11","54,046.34","54,440.37","53,883.13","205.22M","0.17%"
"12.02.2025","54,065.72","53,340.29","54,234.65","53,003.05","242.02M","1.15%"
"11.02.2025","53,451.64","52,901.19","53,579.94","52,572.94","204.64M","0.99%"
"10.02.2025","52,928.12","52,883.23","53,378.04","52,870.40","202.34M","0.21%"
"07.02.2025","52,817.75","52,666.51","52,955.76","52,603.65","174.28M","0.27%"
"06.02.2025","52,674.79","51,579.29","52,773.03","51,579.29","260.55M","2.14%"
"05.02.2025","51,570.19","51,853.36","52,696.53","51,425.08","239.30M","-0.62%"
"04.02.2025","51,889.75","51,407.23","52,074.56","51,200.40","255.09M","1.33%"
"31.01.2025","51,209.53","52,025.43","52,313.96","51,080.87","227.88M","-1.62%"
"30.01.2025","52,050.25","51,619.54","52,375.65","51,589.63","174.08M","0.96%"
"29.01.2025","51,555.78","51,487.56","51,650.10","51,022.67","176.06M","0.04%"
"28.01.2025","51,535.96","51,696.31","51,846.19","51,393.07","194.65M","-0.29%"
"27.01.2025","51,687.45","51,173.41","51,874.65","51,125.91","141.38M","0.64%"
"24.01.2025","51,357.31","51,059.40","51,455.54","50,999.04","188.99M","0.59%"
"23.01.2025","51,054.91","50,989.19","51,324.75","50,358.80","201.85M","0.22%"
"22.01.2025","50,944.58","50,517.08","51,374.49","50,214.78","246.76M","0.98%"
"21.01.2025","50,450.26","50,205.45","50,664.13","50,104.32","152.78M","0.50%"
"20.01.2025","50,201.32","49,923.78","50,317.41","49,895.97","48.49M","0.52%"
"17.01.2025","49,940.89","49,963.64","50,434.73","49,907.31","145.65M","-0.01%"
"16.01.2025","49,948.15","50,314.90","50,379.28","49,888.58","199.20M","-0.59%"
"15.01.2025","50,242.84","49,931.01","50,323.00","49,905.52","201.70M","0.80%"
"14.01.2025","49,844.00","49,833.97","50,183.61","49,754.07","187.15M","0.03%"
"13.01.2025","49,829.97","49,609.82","49,917.77","49,320.01","169.27M","0.47%"
"10.01.2025","49,596.70","49,734.97","49,953.79","49,435.16","160.54M","-0.42%"
"09.01.2025","49,807.96","49,639.52","50,609.89","49,639.52","63.31M","0.35%"
"08.01.2025","49,634.26","50,114.79","50,114.79","49,492.28","154.75M","-0.90%"
"07.01.2025","50,085.50","49,567.77","50,259.11","49,567.77","142.17M","1.20%"
"06.01.2025","49,493.56","49,187.91","50,131.35","49,093.64","139.87M","1.10%"
"03.01.2025","48,957.24","49,760.24","49,847.31","48,878.40","112.78M","-1.62%"
"02.01.2025","49,765.20","49,606.88","50,023.97","49,606.88","87.54M","0.51%"
"31.12.2024","49,513.27","48,835.61","49,663.63","48,835.61","80.72M","1.38%"
"30.12.2024","48,837.72","49,298.89","49,309.95","48,769.88","115.17M","-0.92%"
"27.12.2024","49,290.58","49,527.99","50,209.70","49,225.60","94.71M","-0.49%"
"26.12.2024","49,535.58","49,303.29","49,622.57","49,184.30","65.87M","0.44%"
"24.12.2024","49,316.62","49,449.23","49,668.79","49,225.23","30.76M","-0.27%"
"23.12.2024","49,450.89","49,530.78","49,738.28","49,031.88","81.07M","-0.27%"
"20.12.2024","49,586.21","49,263.04","49,819.56","49,174.44","830.19M","0.67%"
"19.12.2024","49,254.47","49,919.59","50,657.93","49,200.60","176.31M","-1.43%"
"18.12.2024","49,968.44","50,414.44","50,636.90","49,896.07","208.79M","-1.05%"
"17.12.2024","50,500.34","50,718.05","50,928.81","50,371.27","276.37M","-0.69%"
"16.12.2024","50,849.43","51,626.66","51,639.95","50,784.56","240.71M","-1.49%"
"13.12.2024","51,619.75","51,265.18","51,717.64","51,043.68","263.27M","0.64%"
"11.12.2024","51,289.74","51,285.29","51,433.08","50,975.49","202.34M","-0.17%"
"10.12.2024","51,377.28","52,207.76","52,207.76","51,343.14","184.83M","-1.56%"
"09.12.2024","52,190.68","51,417.93","52,291.89","51,370.39","192.66M","1.64%"
"06.12.2024","51,348.80","51,644.52","51,819.76","51,263.92","178.10M","-0.79%"
"05.12.2024","51,756.84","51,143.51","51,912.21","51,087.58","209.96M","0.99%"
"04.12.2024","51,249.80","50,828.47","51,370.12","50,745.56","208.06M","0.83%"
"03.12.2024","50,828.06","50,565.98","51,050.98","50,400.10","226.63M","0.82%"
"02.12.2024","50,414.17","49,954.98","50,610.82","49,954.98","216.61M","1.21%"
"29.11.2024","49,812.64","49,748.65","50,406.66","49,458.79","159.87M","-0.26%"
"28.11.2024","49,941.27","49,812.09","50,102.83","49,756.48","40.83M","0.31%"
"27.11.2024","49,787.82","49,690.49","50,098.08","49,600.03","218.92M","0.13%"
"26.11.2024","49,721.85","50,135.86","50,298.85","49,562.99","200.05M","-0.97%"
"25.11.2024","50,207.18","50,366.75","50,931.28","50,136.56","773.79M","-0.44%"
"22.11.2024","50,430.02","50,149.27","50,499.64","49,921.78","208.58M","0.51%"
"21.11.2024","50,174.64","50,099.45","50,593.90","50,064.85","234.44M","0.01%"
"20.11.2024","50,168.88","50,276.58","50,368.18","49,976.47","221.52M","-0.11%"
"19.11.2024","50,222.40","50,493.48","50,759.37","50,165.78","194.47M","-0.49%"
"15.11.2024","50,469.40","50,321.77","50,860.10","50,321.77","153.07M","-0.17%"
"14.11.2024","50,553.31","50,790.59","50,905.00","50,380.00","198.74M","-0.38%"
"13.11.2024","50,747.63","51,074.86","51,134.84","50,706.11","179.94M","-0.68%"
"12.11.2024","51,096.64","51,492.63","51,514.40","50,984.01","170.23M","-0.69%"
"11.11.2024","51,449.43","51,765.41","51,907.05","51,410.29","156.14M","-0.76%"
"08.11.2024","51,845.17","51,937.38","52,028.21","51,370.36","163.29M","-0.89%"
"07.11.2024","52,311.08","51,800.52","52,594.22","51,580.85","254.70M","1.12%"
"06.11.2024","51,732.46","50,625.60","51,812.71","49,486.17","247.30M","1.77%"
"05.11.2024","50,831.51","50,639.43","50,934.65","50,253.88","179.68M","-0.10%"
"04.11.2024","50,882.54","50,595.33","51,193.34","50,446.34","140.02M","0.51%"
"01.11.2024","50,622.39","50,688.27","50,886.77","50,542.70","151.38M","-0.08%"
"31.10.2024","50,661.05","50,821.74","50,942.30","50,520.96","250.30M","-0.42%"
"30.10.2024","50,877.24","51,172.13","51,227.75","50,803.54","207.69M","-0.56%"
"29.10.2024","51,166.29","51,760.37","51,911.31","51,127.88","210.44M","-1.25%"
"28.10.2024","51,816.30","51,744.79","51,890.22","51,457.53","206.40M","0.06%"
"25.10.2024","51,784.33","51,822.28","52,221.66","51,743.29","201.31M","-0.02%"
"24.10.2024","51,795.56","52,175.86","52,421.65","51,543.17","221.58M","-0.66%"
"23.10.2024","52,142.13","52,183.12","52,506.68","51,878.57","206.24M","-0.43%"
"22.10.2024","52,368.69","52,753.32","52,753.32","51,877.40","248.60M","-0.84%"
"21.10.2024","52,814.82","53,054.25","53,141.54","52,538.99","144.29M","-0.40%"
"18.10.2024","53,027.42","52,510.92","53,076.69","52,354.14","178.43M","1.07%"
"17.10.2024","52,463.66","52,392.22","52,680.08","52,287.59","153.67M","-0.04%"
"16.10.2024","52,483.62","52,281.28","52,601.45","52,212.02","249.95M","0.20%"
"15.10.2024","52,377.78","52,010.75","52,410.31","51,922.15","251.83M","0.66%"
"14.10.2024","52,032.99","52,375.54","52,377.01","51,864.78","199.15M","-0.69%"
"11.10.2024","52,395.66","52,485.19","52,529.26","52,213.62","154.45M","0.01%"
"10.10.2024","52,391.29","51,875.63","52,475.60","51,741.71","230.01M","1.01%"
"09.10.2024","51,869.14","51,799.49","52,409.57","51,699.27","198.23M","0.20%"
"08.10.2024","51,764.64","52,085.07","52,095.76","51,567.96","242.91M","-0.53%"
"07.10.2024","52,039.87","52,587.77","53,067.02","51,943.00","178.65M","-1.08%"
"04.10.2024","52,609.87","51,763.54","52,984.36","51,731.62","208.83M","1.81%"
"03.10.2024","51,674.54","52,183.99","52,183.99","51,507.52","261.78M","-1.01%"
"02.10.2024","52,199.66","52,324.65","52,771.20","51,654.61","312.65M","-0.53%"